classroom,ac2,pb2,female,black,frl,sped,age,ac1,db1,cp1,pb1,er1,r.ac2,r.pb2
52,4.8,0.247352404,1,0,1,0,-0.011606288,1.380645161,0.346250085,0.419354839,-1.68204504,-0.088618381,0.099209314,0.23192872
67,5,0.247352404,1,0,0,0,0.303246553,1.380645161,0.012916751,0.847926267,-0.28204504,1.311381619,0.4844581,-0.135859725
79,3.4,0.447352404,1,1,1,0,1.707764007,0.180645161,-0.320416582,-1.437788018,0.31795496,-0.088618381,-0.301802907,-0.085480027
98,2.4,-0.352647596,0,1,1,1,-0.635836267,-1.819354839,-0.542638804,1.419354839,1.31795496,-0.888618381,0.352661935,-0.831813797
70,3.8,-0.352647596,0,1,0,0,-1.531113475,1.780645161,-0.320416582,-1.723502304,-0.28204504,-0.688618381,-0.972608777,-0.243615886
48,4.6,0.047352404,0,1,1,0,1.362794807,-0.419354839,-0.09819436,0.705069124,0.11795496,0.911381619,1.650730165,0.215772923
36,4.8,1.247352404,0,0,0,0,0.943903637,1.780645161,-0.764861027,1.847926267,0.51795496,-0.288618381,-0.143071886,0.871028602
28,4,0.247352404,1,1,0,0,-0.496205877,0.780645161,-0.320416582,-1.152073733,0.51795496,-0.488618381,0.066288918,0.121493954
64,4.8,0.847352404,1,1,0,0,-1.706335925,1.580645161,0.012916751,1.133640553,0.31795496,0.711381619,-0.531056026,-0.27811065
80,2,0.047352404,1,1,0,0,1.710501857,-1.419354839,0.457361196,0.705069124,0.11795496,0.511381619,0.037272204,0.317951374
55,2.4,1.047352404,0,1,1,0,-0.972591914,-0.419354839,-0.320416582,0.562211982,0.11795496,0.311381619,0.102468966,1.173196889
42,3.2,0.047352404,0,1,0,0,1.92952992,-0.219354839,1.124027862,0.705069124,-0.28204504,0.311381619,-0.462562984,-0.003634158
19,5,1.247352404,0,1,0,0,0.935690085,1.580645161,-0.542638804,-1.723502304,1.11795496,-0.488618381,-0.306139426,-0.208626437
72,2.6,0.047352404,1,1,0,0,-1.142338663,-1.219354839,-0.764861027,-0.294930876,0.31795496,-1.088618381,-0.394212212,-0.498544633
80,5,0.647352404,1,1,0,0,1.412076122,1.180645161,0.679583418,-0.294930876,-0.08204504,0.911381619,1.097355586,0.885201779
81,0.6,-1.152647596,0,1,0,0,-1.553016281,-1.819354839,-0.542638804,0.419354839,0.31795496,-0.488618381,-1.079800671,-0.673358596
