"","classroom","ac2","pb2","female","black","frl","sped","age","ac1","db1","cp1","pb1","er1","r.ac2","r.pb2"
"1",52,4.8,0.247352404,1,0,1,0,-0.011606288,1.380645161,0.346250085,0.419354839,-1.68204504,-0.088618381,0.09920931359587,0.231928720317424
"2",67,5,0.247352404,1,0,0,0,0.303246553,1.380645161,0.012916751,0.847926267,-0.28204504,1.311381619,0.484458100370514,-0.135859725497402
"3",79,3.4,0.447352404,1,1,1,0,1.707764007,0.180645161,-0.320416582,-1.437788018,0.31795496,-0.088618381,-0.301802906805902,-0.0854800270005032
"4",98,2.4,-0.352647596,0,1,1,1,-0.635836267,-1.819354839,-0.542638804,1.419354839,1.31795496,-0.888618381,0.352661934508199,-0.831813797472891
"5",70,3.8,-0.352647596,0,1,0,0,-1.531113475,1.780645161,-0.320416582,-1.723502304,-0.28204504,-0.688618381,-0.972608776989301,-0.243615886108001
"6",48,4.6,0.047352404,0,1,1,0,1.362794807,-0.419354839,-0.09819436,0.705069124,0.11795496,0.911381619,1.65073016488862,0.215772922692528
"7",36,4.8,1.247352404,0,0,0,0,0.943903637,1.780645161,-0.764861027,1.847926267,0.51795496,-0.288618381,-0.143071886060603,0.871028601903889
"8",28,4,0.247352404,1,1,0,0,-0.496205877,0.780645161,-0.320416582,-1.152073733,0.51795496,-0.488618381,0.0662889179024239,0.121493953572379
"9",64,4.8,0.847352404,1,1,0,0,-1.706335925,1.580645161,0.012916751,1.133640553,0.31795496,0.711381619,-0.531056026433425,-0.278110649948037
"10",80,2,0.047352404,1,1,0,0,1.710501857,-1.419354839,0.457361196,0.705069124,0.11795496,0.511381619,0.0372722042875057,0.317951373975633
"11",55,2.4,1.047352404,0,1,1,0,-0.972591914,-0.419354839,-0.320416582,0.562211982,0.11795496,0.311381619,0.102468965765199,1.17319688854253
"12",42,3.2,0.047352404,0,1,0,0,1.92952992,-0.219354839,1.124027862,0.705069124,-0.28204504,0.311381619,-0.462562983970487,-0.00363415799075956
"13",19,5,1.247352404,0,1,0,0,0.935690085,1.580645161,-0.542638804,-1.723502304,1.11795496,-0.488618381,-0.306139425855521,-0.208626436765518
"14",72,2.6,0.047352404,1,1,0,0,-1.142338663,-1.219354839,-0.764861027,-0.294930876,0.31795496,-1.088618381,-0.394212212372929,-0.498544633037611
"15",80,5,0.647352404,1,1,0,0,1.412076122,1.180645161,0.679583418,-0.294930876,-0.08204504,0.911381619,1.0973555860174,0.885201779275611
"16",81,0.6,-1.152647596,0,1,0,0,-1.553016281,-1.819354839,-0.542638804,0.419354839,0.31795496,-0.488618381,-1.07980067082808,-0.673358595806445
"17",73,2.2,-0.152647596,1,1,1,0,-0.811058718,-0.219354839,0.235138973,-1.00921659,0.31795496,-0.488618381,-0.810382064394281,-0.025789243494889
"18",95,2,-1.552647596,0,0,0,0,-1.851442017,-2.619354839,0.679583418,0.562211982,-0.88204504,-0.088618381,0.244031371979308,-0.409699403639158
"19",81,3.8,-0.152647596,1,1,0,0,-1.804898553,0.580645161,-0.653749915,-1.437788018,1.31795496,-1.288618381,0.0549038383132182,-0.690524774901869
"20",67,2.4,-0.952647596,0,1,1,0,0.53596387,-0.619354839,0.568472307,0.419354839,-1.48204504,0.311381619,-0.132941107222677,-0.263074786407257
"21",24,2,-1.352647596,1,1,1,0,2.085587415,1.780645161,0.568472307,-0.866359447,-1.08204504,0.111381619,-2.46256298415896,-0.63394359829242
"22",62,3.8,0.247352404,1,1,1,0,1.40660042,-0.219354839,0.012916751,0.847926267,-0.48204504,0.311381619,0.715856991695976,0.0258870382019131
"23",81,3,-0.152647596,1,1,0,0,-1.695384522,-0.819354839,-0.653749915,-0.723502304,1.31795496,-0.888618381,0.324080113291007,-0.520084385619463
"24",102,4.8,-1.152647596,0,0,0,0,1.02330131,0.380645161,1.012916751,0.276497696,-1.08204504,1.711381619,0.887620720600432,-0.1297290751521
"25",3,2.2,1.047352404,1,1,1,0,0.974019996,0.180645161,-0.653749915,-1.152073733,0.11795496,-1.288618381,-1.20756594010563,1.12267081974358
"26",9,4.4,0.047352404,1,1,0,0,-1.706335925,0.180645161,-0.209305471,-1.437788018,-0.08204504,-0.088618381,0.113513699331576,0.121162812701614
"27",49,2,-0.752647596,0,1,0,1,2.293664075,-0.619354839,-0.653749915,0.847926267,-0.48204504,-0.088618381,-0.125120052544773,0.073888610539324
